trip_id,taxi_id,start_time,end_time,duration_min
1372722134620000435,20000435,2013-07-01 23:42:14,2013-07-02 00:02:44,20.5000
1372722457620000569,20000569,2013-07-01 23:47:37,2013-07-02 00:28:22,40.7500
1372722471620000540,20000540,2013-07-01 23:47:51,2013-07-02 00:02:21,14.5000
1372722555620000680,20000680,2013-07-01 23:49:15,2013-07-02 00:12:30,23.2500
1372722610620000297,20000297,2013-07-01 23:50:10,2013-07-02 00:04:55,14.7500
1372722646620000351,20000351,2013-07-01 23:50:46,2013-07-02 00:00:31,9.7500
1372722663620000108,20000108,2013-07-01 23:51:03,2013-07-02 00:03:48,12.7500
1372722796620000451,20000451,2013-07-01 23:53:16,2013-07-02 00:02:01,8.7500
1372722801620000015,20000015,2013-07-01 23:53:21,2013-07-02 00:05:36,12.2500
1372722877620000598,20000598,2013-07-01 23:54:37,2013-07-02 00:04:07,9.5000
1372722880620000005,20000005,2013-07-01 23:54:40,2013-07-02 00:09:10,14.5000
1372722892620000307,20000307,2013-07-01 23:54:52,2013-07-02 00:08:22,13.5000
1372722919620000603,20000603,2013-07-01 23:55:19,2013-07-02 00:01:49,6.5000
1372722923620000273,20000273,2013-07-01 23:55:23,2013-07-02 00:01:53,6.5000
1372722970620000195,20000195,2013-07-01 23:56:10,2013-07-02 00:00:10,4.0000
1372722985620000454,20000454,2013-07-01 23:56:25,2013-07-02 00:05:25,9.0000
1372723001620000483,20000483,2013-07-01 23:56:41,2013-07-02 00:02:56,6.2500
1372723054620000014,20000014,2013-07-01 23:57:34,2013-07-02 00:09:04,11.5000
1372723060620000337,20000337,2013-07-01 23:57:40,2013-07-02 00:03:55,6.2500
1372723069620000688,20000688,2013-07-01 23:57:49,2013-07-02 00:10:49,13.0000
1372723081620000473,20000473,2013-07-01 23:58:01,2013-07-02 00:05:31,7.5000
1372723091620000649,20000649,2013-07-01 23:58:11,2013-07-02 00:08:56,10.7500
1372808368620000665,20000665,2013-07-02 23:39:28,2013-07-03 00:51:13,71.7500
1372808720620000517,20000517,2013-07-02 23:45:20,2013-07-03 00:01:20,16.0000
1372808948620000395,20000395,2013-07-02 23:49:08,2013-07-03 00:04:08,15.0000
1372809252620000173,20000173,2013-07-02 23:54:12,2013-07-03 00:03:57,9.7500
1372809265620000337,20000337,2013-07-02 23:54:25,2013-07-03 00:04:40,10.2500
1372809308620000618,20000618,2013-07-02 23:55:08,2013-07-03 00:07:53,12.7500
1372809344620000304,20000304,2013-07-02 23:55:44,2013-07-03 00:25:59,30.2500
1372809346620000692,20000692,2013-07-02 23:55:46,2013-07-03 00:02:31,6.7500
1372809355620000601,20000601,2013-07-02 23:55:55,2013-07-03 00:11:10,15.2500
1372809388620000388,20000388,2013-07-02 23:56:28,2013-07-03 00:06:43,10.2500
1372809420620000005,20000005,2013-07-02 23:57:00,2013-07-03 00:06:15,9.2500
1372809430620000525,20000525,2013-07-02 23:57:10,2013-07-03 00:08:25,11.2500
1372809431620000684,20000684,2013-07-02 23:57:11,2013-07-03 00:06:11,9.0000
1372809436620000370,20000370,2013-07-02 23:57:16,2013-07-03 00:03:01,5.7500
1372809441620000678,20000678,2013-07-02 23:57:21,2013-07-03 00:07:36,10.2500
1372809455620000616,20000616,2013-07-02 23:57:35,2013-07-03 00:37:35,40.0000
1372809466620000006,20000006,2013-07-02 23:57:46,2013-07-03 00:04:46,7.0000
1372809472620000327,20000327,2013-07-02 23:57:52,2013-07-03 00:05:07,7.2500
1372809521620000105,20000105,2013-07-02 23:58:41,2013-07-03 00:30:26,31.7500
1372809541620000589,20000589,2013-07-02 23:59:01,2013-07-03 00:04:31,5.5000
1372809548620000276,20000276,2013-07-02 23:59:08,2013-07-03 00:03:23,4.2500
1372809548620000463,20000463,2013-07-02 23:59:08,2013-07-03 00:06:53,7.7500
1372809552620000325,20000325,2013-07-02 23:59:12,2013-07-03 00:07:57,8.7500
1372893517620000252,20000252,2013-07-03 23:18:37,2013-07-04 00:21:07,62.5000
1372894973620000574,20000574,2013-07-03 23:42:53,2013-07-04 00:01:53,19.0000
1372895123620000216,20000216,2013-07-03 23:45:23,2013-07-04 00:08:53,23.5000
1372895123620000665,20000665,2013-07-03 23:45:23,2013-07-04 00:09:38,24.2500
1372895130620000684,20000684,2013-07-03 23:45:30,2013-07-04 00:01:45,16.2500
1372895228620000657,20000657,2013-07-03 23:47:08,2013-07-04 00:03:53,16.7500
1372895375620000686,20000686,2013-07-03 23:49:35,2013-07-04 00:01:05,11.5000
1372895420620000497,20000497,2013-07-03 23:50:20,2013-07-04 00:01:50,11.5000
1372895432620000503,20000503,2013-07-03 23:50:32,2013-07-04 00:40:32,50.0000
1372895439620000136,20000136,2013-07-03 23:50:39,2013-07-04 00:03:09,12.5000
1372895490620000105,20000105,2013-07-03 23:51:30,2013-07-04 00:00:15,8.7500
